Topic_Category,Course_Type,Platform,Channel_Name,URL,License,Best_Use,Video_Count,Length_Range,Language,Subtitles_Available,Download_Available,Contact_Required
Agriculture General,Farming,YouTube,CGIAR Official,youtube.com/@CGIAR,CC-BY-3.0,Research-based farming techniques,50+,8-15 min,English,Yes,No,No
Agriculture General,Farming,YouTube,World Food Programme,youtube.com/@worldfoodprogramme,CC-BY,Agricultural development stories,100+,5-12 min,Multiple,Yes,No,No
Agriculture General,Farming,YouTube,FAO,youtube.com/@fao,CC-BY,Global agriculture policy and training,200+,10-20 min,Multiple,Yes,No,No
Agriculture General,Farming,YouTube,TEDx Agriculture,youtube.com/results?search_query=tedx+agriculture,CC-BY-NC-ND,Innovation and ideas,50+,12-18 min,English,Yes,No,No
Sustainable Farming,Farming,YouTube,One Acre Fund,youtube.com/@oneacrefund,Custom,Farmer training and success stories,30+,5-15 min,English/Swahili,Partial,No,No
Sustainable Farming,Farming,YouTube,Heifer International,youtube.com/@heiferinternational,Custom,Livestock and farmer stories,40+,8-12 min,English,Yes,No,Email
Crop Production,Farming,YouTube,ICRISAT,youtube.com/@icrisat,CC-BY,Dryland farming and crop varieties,60+,8-15 min,English/Regional,Yes,No,No
Livestock Management,Farming,YouTube,Animal Welfare Institute,youtube.com/results?search_query=livestock+welfare+africa,Custom,Animal health and welfare,25+,6-12 min,English,Varies,No,Yes
East African Farming,Farming,YouTube,Tuko Farming,youtube.com/@tukofarming,Educational,Local language content,150+,5-20 min,Swahili,No,No,No
West African Farming,Farming,YouTube,Agro-Business TV,youtube.com/@agrobusinetv,Educational,West African context,80+,8-15 min,English/French,Partial,No,No
Soil Science,Farming,Online Course,Khan Academy,khanacademy.org/science,CC-BY-NC-SA 3.0,Scientific foundations,30+,8-12 min,English,Yes,Yes,No
Plant Biology,Farming,Online Course,Khan Academy,khanacademy.org/science,CC-BY-NC-SA 3.0,Plant science basics,20+,6-10 min,English,Yes,Yes,No
Sustainable Agriculture,Farming,OER,OpenStax Rice University,openstax.org,CC-BY 4.0,Structured agricultural science,40+,8-14 min,English,Yes,Yes,No
Vegetable Gardening,Farming,YouTube,Practical Action,youtube.com/@practicalaction,CC-BY,Sustainable development techniques,50+,6-12 min,English,Partial,No,No
Irrigation Methods,Farming,YouTube,FAO,youtube.com/@fao,CC-BY,Water management techniques,20+,10-15 min,Multiple,Yes,No,No
Pest Management,Farming,YouTube,CGIAR,youtube.com/@CGIAR,CC-BY-3.0,Integrated pest management,30+,8-12 min,English,Yes,No,No
Climate Smart Agriculture,Farming,YouTube,CGIAR,youtube.com/@CGIAR,CC-BY-3.0,Climate adaptation strategies,25+,10-15 min,English,Yes,No,No
Women in Agriculture,Farming,YouTube,SEWA,youtube.com/@sewaassociation,Custom,Women farmer perspectives,40+,8-15 min,Multiple,Partial,No,Email
English Fundamentals,Language,YouTube,BBC Learning English,youtube.com/@bbclearningenglish,Educational,English grammar and vocabulary,500+,3-8 min,English,Yes,No,No
English Conversation,Language,YouTube,Rachel's English,youtube.com/@rachelsenglish,Educational,American English conversation,300+,5-15 min,English,Yes,No,No
English Pronunciation,Language,YouTube,English Addict,youtube.com/@englishaddict,Educational,Pronunciation and listening,250+,3-10 min,English,Yes,No,No
TED-Ed Language,Language,YouTube,TED-Ed,youtube.com/@TED-Ed,CC-BY-NC-ND 4.0,Communication and language,100+,5-12 min,English,Yes,No,No
Basic English,Language,YouTube,English Class 101,youtube.com/@englishclass101,Educational,Structured lessons,400+,5-15 min,English,Partial,No,No
Business English,Language,YouTube,English for Work,youtube.com/results?search_query=english+for+work+business,Educational,Professional English,100+,5-12 min,English,Partial,No,No
Swahili Learning,Language,YouTube,Swahili Classroom,youtube.com/@SwahiliClassroom,Educational,Swahili grammar and vocabulary,200+,4-10 min,Swahili/English,Yes,No,No
French Basics,Language,YouTube,TV5Monde,youtube.com/@TV5Monde,Educational,French language and culture,300+,5-15 min,French,Yes,No,No
French Learning,Language,YouTube,Français avec Pierre,youtube.com/results?search_query=francais+avec+pierre,Educational,French instruction,250+,8-15 min,French,Partial,No,No
Arabic Basics,Language,YouTube,Noor Alarabi,youtube.com/results?search_query=arabic+learning+africa,Educational,Arabic for beginners,100+,5-12 min,Arabic/English,Partial,No,No
Literacy Fundamentals,Language,Online Course,Khan Academy,khanacademy.org/humanities,CC-BY-NC-SA 3.0,Reading and writing,50+,6-12 min,English,Yes,Yes,No
Writing Skills,Language,Online Course,OpenStax Rice University,openstax.org,CC-BY 4.0,Academic and creative writing,30+,8-14 min,English,Yes,Yes,No
British Council English,Language,Online,British Council,learnenglish.britishcouncil.org,CC-BY-NC-SA 4.0,British English and culture,200+,5-12 min,English,Yes,No,No
Welding Basics,Vocational,YouTube,Essential Craftsman,youtube.com/@essentialcraftsman,Educational,Craftsmanship and technique,150+,10-20 min,English,Partial,No,No
Welding Techniques,Vocational,YouTube,Hobart Welders,youtube.com/@hobartbrothers,Educational,Professional welding,100+,8-15 min,English,Yes,No,No
Carpentry Basics,Vocational,YouTube,Paul Sellers,youtube.com/@PaulSellersWoodwork,Educational,Fine woodworking,200+,15-30 min,English,No,No,Email
Carpentry General,Vocational,YouTube,Woodworking for Mere Mortals,youtube.com/@woodworkingformeremortals,Educational,Beginner woodworking,100+,10-20 min,English,Partial,No,No
Electrical Safety,Vocational,YouTube,ILO,youtube.com/@ILOvideos,CC-BY,Safety in electrical work,30+,8-12 min,English,Yes,No,No
Plumbing Basics,Vocational,YouTube,Skill Up Kenya,youtube.com/@SkillUpKenya,Educational,Vocational plumbing training,50+,8-15 min,English/Swahili,Partial,No,No
Auto Repair,Vocational,YouTube,ChrisFix,youtube.com/@ChrisFix,Educational,Vehicle repair and maintenance,300+,10-25 min,English,Partial,No,No
HVAC Basics,Vocational,YouTube,AC Service Tech,youtube.com/results?search_query=hvac+training+africa,Educational,Heating and cooling systems,50+,10-15 min,English,Partial,No,No
Masonry Skills,Vocational,YouTube,Practical Action,youtube.com/@practicalaction,CC-BY,Construction techniques,40+,8-12 min,English,Partial,No,No
Construction Safety,Vocational,YouTube,ILO,youtube.com/@ILOvideos,CC-BY,Construction site safety,50+,8-12 min,Multiple,Yes,No,No
Engineering Basics,Vocational,Online Course,MIT OpenCourseWare,ocw.mit.edu,CC-BY 4.0,Engineering fundamentals,100+,8-16 min,English,Yes,Yes,No
Electronics Fundamentals,Vocational,Online Course,Khan Academy,khanacademy.org/science/physics,CC-BY-NC-SA 3.0,Physics and electronics,80+,8-12 min,English,Yes,Yes,No
Metalworking,Vocational,YouTube,Urban Metalsmith,youtube.com/@urbanmetalsmith,Educational,Metal fabrication,100+,15-25 min,English,Partial,No,No
Solar Installation,Vocational,YouTube,Practical Action,youtube.com/@practicalaction,CC-BY,Renewable energy,30+,10-15 min,English,Partial,No,No
Water & Sanitation,Vocational,YouTube,Practical Action,youtube.com/@practicalaction,CC-BY,Water systems and hygiene,40+,8-12 min,English,Partial,No,No
Animal Health,Vocational,YouTube,FAO,youtube.com/@fao,CC-BY,Veterinary basics,50+,8-15 min,Multiple,Yes,No,No
Community Health,Vocational,YouTube,ILO/WHO,youtube.com/results?search_query=community+health+africa,Educational,Health worker training,60+,8-12 min,English,Partial,No,No
Business Basics,Business,YouTube,Khan Academy,khanacademy.org/business-finance,CC-BY-NC-SA 3.0,Entrepreneurship and business,100+,8-12 min,English,Yes,Yes,No
Entrepreneurship,Business,YouTube,TEDx,youtube.com/results?search_query=tedx+entrepreneurship,CC-BY-NC-ND,Business ideas and innovation,150+,12-18 min,English,Yes,No,No
Financial Literacy,Business,YouTube,Khan Academy,khanacademy.org/economics,CC-BY-NC-SA 3.0,Money management,80+,6-10 min,English,Yes,Yes,No
Small Business,Business,YouTube,SEWA,youtube.com/@sewaassociation,Custom,Women entrepreneur stories,50+,8-12 min,Multiple,Partial,No,Email
Accounting Basics,Business,YouTube,Accounting Stuff,youtube.com/results?search_query=accounting+basics+free,Educational,Bookkeeping and accounting,60+,8-15 min,English,Partial,No,No
Marketing Basics,Business,YouTube,HubSpot Academy,youtube.com/@hubspotacademy,Educational,Marketing strategies,100+,5-15 min,English,Partial,No,No
Digital Marketing,Business,YouTube,Neil Patel Digital Marketing,youtube.com/@neilpateldigitalmarketing,Educational,Online marketing,200+,5-20 min,English,Partial,No,No
Sales Techniques,Business,YouTube,Sales Hacker,youtube.com/@saleshacker,Educational,Sales training,80+,8-15 min,English,Partial,No,No
Customer Service,Business,YouTube,Workplace Learning,youtube.com/results?search_query=customer+service+training,Educational,Customer relations,50+,5-12 min,English,Partial,No,No
Leadership Skills,Business,YouTube,TED,youtube.com/@TED,CC-BY-NC-ND 4.0,Leadership and management,200+,10-20 min,English,Yes,No,No
Cooperative Management,Business,YouTube,ILO,youtube.com/@ILOvideos,CC-BY,Cooperative enterprises,30+,10-15 min,Multiple,Yes,No,No
Environmental Basics,Environment,YouTube,TED-Ed,youtube.com/@TED-Ed,CC-BY-NC-ND 4.0,Sustainability and ecology,100+,5-12 min,English,Yes,No,No
Climate Change,Environment,YouTube,Our Changing Climate,youtube.com/@ourchanngingclimate,Educational,Climate science,80+,8-15 min,English,Yes,No,No
Conservation,Environment,YouTube,National Geographic,youtube.com/@NationalGeographic,Educational,Wildlife and conservation,200+,5-20 min,English,Partial,No,No
Renewable Energy,Environment,YouTube,Renewable Energy,youtube.com/results?search_query=renewable+energy+africa,Educational,Solar wind water power,100+,8-15 min,English,Partial,No,No
Water Conservation,Environment,YouTube,FAO,youtube.com/@fao,CC-BY,Water management,50+,8-12 min,Multiple,Yes,No,No
Nutrition,Health,YouTube,Nutrition Stripped,youtube.com/@nutritionstripped,Educational,Health and nutrition,100+,5-15 min,English,Partial,No,No
First Aid,Health,YouTube,Red Cross,youtube.com/@RedCross,Educational,Emergency response,50+,8-12 min,English,Yes,No,No
Maternal Health,Health,YouTube,AMREF/WHO,youtube.com/results?search_query=maternal+health+africa,Educational,Pregnancy and childbirth,40+,8-15 min,English/Swahili,Partial,No,No
Mental Health,Health,YouTube,Mind,youtube.com/@MindCharity,Educational,Mental wellbeing,60+,5-15 min,English,Partial,No,No
Disease Prevention,Health,YouTube,WHO,youtube.com/@WHO,CC-BY,Public health education,100+,5-15 min,Multiple,Yes,No,No
